100,15
Ground,14,2,1,1
Ground,15,2,1,1
Ground,16,2,1,1
Ground,17,2,1,1
Ground,18,2,1,1
Ground,13,2,1,1
Ground,12,2,1,1
Ground,11,2,1,1
Ground,10,2,1,1
Ground,10,1,1,1
Ground,9,1,1,1
Ground,8,1,1,1
Ground,7,1,1,1
Ground,6,1,1,1
Ground,5,1,1,1
Ground,4,1,1,1
Ground,3,1,1,1
Ground,2,1,1,1
Ground,1,1,1,1
Ground,0,1,1,1
Ground,0,2,1,1
Ground,0,3,1,1
Ground,0,4,1,1
Ground,1,0,1,1
Ground,2,0,1,1
Ground,3,0,1,1
Ground,4,0,1,1
Ground,5,0,1,1
Ground,6,0,1,1
Ground,7,0,1,1
Ground,8,0,1,1
Ground,9,0,1,1
Ground,10,0,1,1
Ground,11,0,1,1
Ground,0,0,1,1
Ground,12,0,1,1
Ground,13,0,1,1
Ground,14,0,1,1
Ground,13,1,1,1
Ground,12,1,1,1
Ground,11,1,1,1
Ground,14,1,1,1
Ground,15,1,1,1
Ground,16,1,1,1
Ground,17,1,1,1
Ground,18,1,1,1
Ground,19,1,1,1
Ground,20,1,1,1
Ground,21,1,1,1
Ground,22,1,1,1
Ground,23,1,1,1
Ground,24,2,1,1
Ground,23,2,1,1
Ground,22,2,1,1
Ground,15,0,1,1
Ground,16,0,1,1
Ground,17,0,1,1
Ground,18,0,1,1
Ground,19,0,1,1
Ground,20,0,1,1
Ground,21,0,1,1
Ground,22,0,1,1
Ground,23,0,1,1
Ground,24,0,1,1
Ground,25,0,1,1
Ground,26,0,1,1
Ground,27,0,1,1
Ground,28,0,1,1
Ground,29,0,1,1
Ground,30,0,1,1
Ground,31,0,1,1
Ground,32,0,1,1
Ground,33,0,1,1
Ground,34,0,1,1
Ground,35,0,1,1
Ground,19,2,1,1
Ground,20,2,1,1
Ground,21,2,1,1
Ground,25,2,1,1
Ground,25,1,1,1
Ground,24,1,1,1
Ground,26,1,1,1
Ground,27,1,1,1
Ground,28,1,1,1
Ground,29,1,1,1
Ground,30,1,1,1
Ground,31,1,1,1
Ground,32,1,1,1
Ground,33,1,1,1
Ground,34,1,1,1
Ground,35,1,1,1
Ground,36,1,1,1
Ground,37,1,1,1
Ground,38,1,1,1
Ground,38,0,1,1
Ground,37,0,1,1
Ground,39,0,1,1
Ground,40,0,1,1
Ground,36,0,1,1
Ground,41,0,1,1
Ground,42,0,1,1
Ground,41,1,1,1
Ground,40,1,1,1
Ground,39,1,1,1
Ground,42,1,1,1
Ground,43,1,1,1
Ground,44,1,1,1
Ground,45,1,1,1
Ground,44,0,1,1
Ground,43,0,1,1
Ground,32,2,1,1
Ground,32,3,1,1
Ground,32,4,1,1
Ground,32,5,1,1
Ground,33,5,1,1
Ground,33,4,1,1
Ground,34,4,1,1
Ground,34,3,1,1
Ground,33,3,1,1
Ground,33,2,1,1
Ground,34,5,1,1
Ground,34,2,1,1
Ground,17,3,1,1
Ground,17,4,1,1
Ground,17,5,1,1
Ground,17,6,1,1
Ground,17,7,1,1
Ground,5,5,1,1
Ground,8,7,1,1
Ground,4,10,1,1
Ground,9,12,1,1
Ground,14,10,1,1
Ground,17,8,1,1
Ground,21,4,1,1
Ground,22,4,1,1
Ground,23,4,1,1
Ground,24,4,1,1
Ground,25,4,1,1
Ground,26,4,1,1
Ground,27,4,1,1
Ground,27,3,1,1
Ground,28,3,1,1
Ground,29,3,1,1
Ground,29,4,1,1
Ground,29,5,1,1
Ground,29,6,1,1
Ground,28,6,1,1
Ground,27,6,1,1
Ground,26,6,1,1
Ground,26,7,1,1
Ground,26,8,1,1
Ground,26,9,1,1
Ground,27,9,1,1
Ground,28,9,1,1
Ground,29,9,1,1
Ground,30,9,1,1
Ground,31,9,1,1
Ground,31,8,1,1
Ground,32,8,1,1
Ground,32,7,1,1
Ground,32,6,1,1
Ground,31,4,1,1
